TABELA 26,,,,,,,,,,,,(Voltar ao índice)
Homicídios de mulheres e feminicídios (1),,,,,,,,,,,,
Brasil e Unidades da Federação –  2016-2017,,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Homicidios (2),,,,,Feminicídios,,,,,Proporção de Feminicídios em relação aos homicídios de mulheres,
,Vítimas Sexo Feminino,,,,"Variação
(%)",,,,,,,
,Ns. Absolutos,,Taxa (3),,,Ns. Absolutos,,Taxa (3),,Variação (%),Em percentual (%),
,2016,2017,2016,2017,,2016,2017,2016,2017,,2016,2017
,,,,,,,,,,,,
Brasil,4.245,  4.539 ,"4,1","  4,3 ","6,1",929,1.133,"0,9","1,1","21,0","21,9","  24,8 "
,,,,,,,,,,,,
Acre,26,34,"6,4","  8,3 ","28,7",14,13,"3,5","3,2","-8,6","53,8","  38,2 "
Alagoas (4),54,74,"3,1","  4,3 ","36,2",36,31,"2,1","1,8","-14,4","66,7","  41,9 "
Amapá,20,23,"5,2","  5,8 ","12,7",...,2,...,"0,5",...,...,"  8,7 "
Amazonas,68,73,"3,4","  3,6 ","5,7",10,16,"0,5","0,8","57,5","14,7","  21,9 "
Bahia,443,474,"5,7","  6,1 ","6,4",18,74,"0,2","1,0","308,8","4,1","  15,6 "
Ceará,202,351,"4,4","  7,6 ","72,6",...,...,...,...,...,..., ...
Distrito Federal,54,41,"3,4","  2,6 ","-25,7",20,19,"1,3","1,2","-7,0","37,0","  46,3 "
Espírito Santo,99,135,"5,0","  6,7 ","34,9",35,42,"1,8","2,1","18,7","35,4","  31,1 "
Goiás,198,197,"5,9","  5,8 ","-1,7",17,31,"0,5","0,9","80,1","8,6","  15,7 "
Maranhão,123,125,"3,5","  3,5 ","0,9",...,50,...,"1,4",...,...,"  40,0 "
Mato Grosso (4),91,84,"5,6","  5,1 ","-8,8",49,76,"3,0","4,6","53,2","53,8","  90,5 "
Mato Grosso do Sul,104,84,"7,8","  6,2 ","-20,2",34,27,"2,5","2,0","-21,5","32,7","  32,1 "
Minas Gerais,353,344,"3,3","  3,2 ","-3,1",134,145,"1,3","1,4","7,6","38,0","  42,2 "
Pará,268,277,"6,6","  6,7 ","2,1",44,37,"1,1","0,9","-16,9","16,4","  13,4 "
Paraíba,97,76,"4,7","  3,7 ","-22,2",24,22,"1,2","1,1","-9,0","24,7","  28,9 "
Paraná,200,180,"3,5","  3,1 ","-10,7",20,21,"0,4","0,4","4,2","10,0","  11,7 "
Pernambuco,280,316,"5,8","  6,5 ","12,1",112,76,"2,3","1,6","-32,6","40,0","  24,1 "
Piauí,55,62,"3,3","  3,8 ","12,3",31,26,"1,9","1,6","-16,4","56,4","  41,9 "
Rio de Janeiro,396,381,"4,6","  4,4 ","-4,3",16,68,"0,2","0,8","322,9","4,0","  17,8 "
Rio Grande do Norte,102,149,"5,8","  8,4 ","44,7",27,23,"1,5","1,3","-15,6","26,5","  15,4 "
Rio Grande do Sul,288,280,"5,0","  4,9 ","-3,1",96,83,"1,7","1,4","-13,8","33,3","  29,6 "
Rondônia,44,66,"5,0","  7,4 ","48,4",37,54,"4,2","6,1","44,4","84,1","  81,8 "
Roraima,6,12,"2,4","  4,7 ","96,7",3,3,"1,2","1,2","-1,7","50,0","  25,0 "
Santa Catarina,115,110,"3,3","  3,2 ","-5,6",54,48,"1,6","1,4","-12,3","47,0","  43,6 "
São Paulo (4),474,508,"2,1","  2,2 ","6,4",60,108,"0,3","0,5","78,6","12,7","  21,3 "
Sergipe,51,69,"4,4","  5,9 ","33,9",...,6,...,"0,5",...,...,"8,7"
Tocantins,34,14,"4,5","  1,8 ","-59,3",38,32,"5,0","4,2","-16,8","111,8","  228,6 "
,,,,,,,,,,,,
Fonte: Secretarias Estaduais de Segurança Pública e/ou Defesa Social; Monitor da Violência/G1; Instituto Brasileiro de Geografia e Estatística (IBGE); Fórum Brasileiro de Segurança Pública.,,,,,,,,,,,,
(...) Informação não disponível.,,,,,,,,,,,,
(1) Contabiliza crime praticado contra pessoa do sexo feminino em situação de violência doméstica.,,,,,,,,,,,,
"(2) A fonte para o dado de homicídios com o recorte de mulheres é o Monitor da Violência, elaborado pelo G1 em parceria com o Núcleo de Estudos da Violência da USP (NEV-USP) e o Fórum Brasileiro de Segurança Pública. Apenas para o estado de Roraima foi utilizada outra fonte: a base de microdados enviada pela gestão estadual da Segurança Pública.",,,,,,,,,,,,
(3) Taxa por 100 mil mulheres. População: IBGE. Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030.,,,,,,,,,,,,
(4) A fonte para o dado de feminicídio é o Monitor da Violência.,,,,,,,,,,,,
