TABELA 37,,,,,,,,,,,,(Voltar ao índice)
Homicídios de mulheres e feminicídios (1),,,,,,,,,,,,
Brasil e Unidades da Federação –  2018-2019,,,,,,,,,,,,
,,,,,,,,,,,,
Brasil e Unidades da Federação,Homicídios,,,,,Feminicídios,,,,,Proporção de Feminicídios em relação aos homicídios de mulheres,
,Vítimas Sexo Feminino,,,,"Variação
(%)",,,,,,,
,Ns. Absolutos,,Taxa (2),,,Ns. Absolutos,,Taxa (2),,Variação (%),Em percentual (%),
,2018,2019,2018,2019,,2018,2019,2018,2019,,2018,2019
,,,,,,,,,,,,
Brasil,  4.340 ,  3.730 ,"4,1","3,5","-14,7",  1.229 ,  1.326 ,"1,2","1,2","7,1","28,3","35,5"
,,,,,,,,,,,,
Acre,35,31,"8,4","7,3","-12,8",14,11,"3,4","2,6","-22,6","40,0","35,5"
Alagoas,64,88,"3,7","5,0","36,7",21,44,"1,2","2,5","108,4","32,8","50,0"
Amapá,17,11,"4,2","2,7","-36,5",3,7,"0,7","1,7","129,0","17,6","63,6"
Amazonas,95,82,"4,6","4,0","-14,9",4,12,"0,2","0,6","195,7","4,2","14,6"
Bahia,422,398,"5,4","5,1","-6,2",76,101,"1,0","1,3","32,2","18,0","25,4"
Ceará,448,225,"9,7","4,8","-50,1",30,34,"0,6","0,7","12,6","6,7","15,1"
Distrito Federal,47,60,"2,9","3,6","25,1",28,33,"1,7","2,0","15,5","59,6","55,0"
Espírito Santo,94,90,"4,6","4,4","-5,2",34,35,"1,7","1,7","1,9","36,2","38,9"
Goiás,194,147,"5,7","4,2","-25,1",36,40,"1,1","1,2","9,8","18,6","27,2"
Maranhão,100,104,"2,8","2,9","3,3",45,52,"1,3","1,4","14,8","45,0","50,0"
Mato Grosso,68,76,"4,1","4,5","10,5",42,39,"2,5","2,3","-8,2","61,8","51,3"
Mato Grosso do Sul,87,75,"6,4","5,4","-14,7",42,34,"3,1","2,5","-19,9","48,3","45,3"
Minas Gerais (3),323,275,"3,0","2,6","-15,3",157,142,"1,5","1,3","-10,0","48,6","51,6"
Pará,324,196,"7,8","4,6","-40,2",66,45,"1,6","1,1","-32,6","20,4","23,0"
Paraíba,80,70,"3,8","3,3","-13,1",34,38,"1,6","1,8","11,0","42,5","54,3"
Paraná,215,218,"3,7","3,8","0,7",69,89,"1,2","1,5","28,1","32,1","40,8"
Pernambuco,232,191,"4,7","3,9","-18,2",74,57,"1,5","1,2","-23,5","31,9","29,8"
Piauí,52,46,"3,1","2,8","-11,8",26,29,"1,6","1,7","11,2","50,0","63,0"
Rio de Janeiro,350,308,"4,0","3,5","-12,4",71,85,"0,8","1,0","19,2","20,3","27,6"
Rio Grande do Norte,84,89,"4,7","4,9","5,0",28,21,"1,6","1,2","-25,7","33,3","23,6"
Rio Grande do Sul,316,257,"5,5","4,4","-18,9",116,97,"2,0","1,7","-16,6","36,7","37,7"
Rondônia,42,28,"4,7","3,1","-34,0",9,7,"1,0","0,8","-23,0","21,4","25,0"
Roraima,27,23,"10,4","8,7","-16,1",4,6,"1,5","2,3","47,7","14,8","26,1"
Santa Catarina,95,129,"2,7","3,6","34,1",42,58,"1,2","1,6","36,4","44,2","45,0"
São Paulo,461,444,"2,0","1,9","-4,4",136,184,"0,6","0,8","34,3","29,5","41,4"
Sergipe,37,47,"3,1","3,9","25,8",16,21,"1,4","1,8","29,9","43,2","44,7"
Tocantins,31,22,"4,0","2,8","-29,8",6,5,"0,8","0,6","-17,6","19,4","22,7"
,,,,,,,,,,,,
Fonte: Secretarias Estaduais de Segurança Pública e/ou Defesa Social; Observatório de Análise Criminal / NAT / MPAC; Coordenadoria de Informações Estatísticas e Análises Criminais - COINE/RN; Monitor da Violência; Instituto Brasileiro de Geografia e Estatística (IBGE); Fórum Brasileiro de Segurança Pública.,,,,,,,,,,,,
"(1) A Lei 13.104, de 9 de março de 2015, qualificou o crime de feminicídio quando ele é cometido contra a mulher por razões da condição de sexo feminino. Considera-se que há razões de condição de sexo feminino quando o crime envolve violência doméstica e familiar e menosprezo ou discriminação à condição de mulher. ",,,,,,,,,,,,
(2) Taxa por 100 mil mulheres. População: IBGE. Projeção da população do Brasil e Unidades da Federação por sexo e idade para o período 2000-2030.,,,,,,,,,,,,
"(3) O Em Minas Gerais, existe apenas a categoria ""homicídio consumado"", que inclui homicídios dolosos e homicídios culposos, excetuando homicídios culposos de trânsito.",,,,,,,,,,,,
