TABELA 39,,,,,(Voltar ao índice)
Medidas protetivas de urgência solicitadas pela Polícia Civil no âmbito da Lei 11.340/2006 (Lei Maria da Penha),,,,,
Brasil e Unidades da Federação –  2018-2019,,,,,
,,,,,
Brasil e Unidades da Federação,Solicitação de medidas protetivas de urgência,,,,
,Ns. Absolutos,,Taxa (1),,"Variação
(%)"
,2018,2019,2018,2019,
,,,,,
Brasil,275.158,349.942,"185,1","216,4","16,9"
,,,,,
Acre,2.339,2.524,"269,1","286,2","6,4"
Alagoas,...,...,...,...,...
Amapá,2.167,3.032,"261,2","358,5","37,2"
Amazonas,5.909,6.110,"144,8","147,4","1,8"
Bahia,...,...,...,...,...
Ceará,...,...,...,...,...
Distrito Federal,9.807,14.659,"329,7","486,2","47,5"
Espírito Santo,8.904,6.714,"224,1","167,1","-25,5"
Goiás,...,...,...,...,...
Maranhão,9.529,11.156,"135,5","157,7","16,4"
Mato Grosso,10.369,13.225,"301,2","379,5","26,0"
Mato Grosso do Sul,11.566,12.676,"420,9","456,1","8,4"
Minas Gerais,35.751,39.084,"169,9","184,6","8,7"
Pará,...,...,...,...,...
Paraíba,5.118,4.941,"128,1","123,0","-4,0"
Paraná,10.434,36.799,"91,9","321,8","250,1"
Pernambuco,...,  12.756 ,...,"133,5",...
Piauí,...,...,...,...,...
Rio de Janeiro,41.193,45.912,"240,1","265,9","10,8"
Rio Grande do Norte,1.929,1.770,"55,4","50,5","-9,0"
Rio Grande do Sul,56.853,60.046,"501,8","527,8","5,2"
Rondônia,3.209,4.112,"182,6","231,4","26,7"
Roraima,...,...,...,...,...
Santa Catarina,6.672,6.077,"94,3","84,8","-10,1"
São Paulo,53.409,66.675,"117,3","145,2","23,8"
Sergipe,...,  1.674 ,...,"72,8",...
Tocantins,...,...,...,...,...
,,,,,
Fonte: Polícias Civis; Instituto Brasileiro de Geografia e Estatística (IBGE); Fórum Brasileiro de Segurança Pública.,,,,,
(...) Informação não disponível.,,,,,
(1) Taxa por 100 mil habitantes. População: IBGE. ,,,,,
